iter	Passed	Remaining
201	19	77
202	19	77
203	19	77
204	19	77
205	20	77
206	20	77
207	20	77
208	20	76
209	20	76
210	20	76
211	20	76
212	20	76
213	20	76
214	20	76
215	21	76
216	21	76
217	21	76
218	21	76
219	21	76
220	21	75
221	21	75
222	21	75
223	21	75
224	21	75
225	22	75
226	22	75
227	22	75
228	22	75
229	22	75
230	22	75
231	22	75
232	22	75
233	22	74
234	22	74
235	23	74
236	23	74
237	23	74
238	23	74
239	23	74
240	23	74
241	23	74
242	23	74
243	23	74
244	23	73
245	24	73
246	24	73
247	24	73
248	24	73
249	24	73
250	24	73
251	24	73
252	24	73
253	24	73
254	25	73
255	25	72
256	25	72
257	25	72
258	25	72
259	25	72
260	25	72
261	25	72
262	25	72
263	25	72
264	26	72
265	26	72
266	26	72
267	26	72
268	26	71
269	26	71
270	26	71
271	26	71
272	26	71
273	26	71
274	27	71
275	27	71
276	27	71
277	27	71
278	27	70
279	27	70
280	27	70
281	27	70
282	27	70
283	27	70
284	28	70
285	28	70
286	28	70
287	28	69
288	28	69
289	28	69
290	28	69
291	28	69
292	28	69
293	28	69
294	28	69
295	29	69
296	29	69
297	29	69
298	29	68
299	29	68
300	29	68
301	29	68
302	29	68
303	29	68
304	30	68
305	30	68
306	30	68
307	30	68
308	30	68
309	30	67
310	30	67
311	30	67
312	30	67
313	30	67
314	31	67
315	31	67
316	31	67
317	31	67
318	31	67
319	31	67
320	31	66
321	31	66
322	31	66
323	31	66
324	32	66
325	32	66
326	32	66
327	32	66
328	32	66
329	32	66
330	32	66
331	33	66
332	33	66
333	33	66
334	33	66
335	33	66
336	33	66
337	33	65
338	33	65
339	33	65
340	33	65
341	34	65
342	34	65
343	34	65
344	34	65
345	34	65
346	34	65
347	34	65
348	34	64
349	34	64
350	35	64
351	35	64
352	35	64
353	35	64
354	35	64
355	35	64
356	35	64
357	35	64
358	35	64
359	35	63
360	36	63
361	36	63
362	36	63
363	36	63
364	36	63
365	36	63
366	36	63
367	36	63
368	36	63
369	36	62
370	37	62
371	37	62
372	37	62
373	37	62
374	37	62
375	37	62
376	37	62
377	37	62
378	37	62
379	37	61
380	38	61
381	38	61
382	38	61
383	38	61
384	38	61
385	38	61
386	38	61
387	38	61
388	38	61
389	38	60
390	39	60
391	39	60
392	39	60
393	39	60
394	39	60
395	39	60
396	39	60
397	39	60
398	39	60
399	40	60
400	40	59
401	40	59
402	40	59
403	40	59
404	40	59
405	40	59
406	40	59
407	40	59
408	40	59
409	40	58
410	41	58
411	41	58
412	41	58
413	41	58
414	41	58
415	41	58
416	41	58
417	41	58
418	41	58
419	41	57
420	42	57
421	42	57
422	42	57
423	42	57
424	42	57
425	42	57
426	42	57
427	42	57
428	42	57
429	43	57
430	43	56
431	43	56
432	43	56
433	43	56
434	43	56
435	43	56
436	43	56
437	43	56
438	43	56
439	44	56
440	44	55
441	44	55
442	44	55
443	44	55
444	44	55
445	44	55
446	44	55
447	44	55
448	44	55
449	45	55
450	45	54
451	45	54
452	45	54
453	45	54
454	45	54
455	45	54
456	45	54
457	45	54
458	45	54
459	46	54
460	46	53
461	46	53
462	46	53
463	46	53
464	46	53
465	46	53
466	46	53
467	46	53
468	46	53
469	47	53
470	47	52
471	47	52
472	47	52
473	47	52
474	47	52
475	47	52
476	47	52
477	47	52
478	47	52
479	48	52
480	48	51
481	48	51
482	48	51
483	48	51
484	48	51
485	48	51
486	48	51
487	48	51
488	48	51
489	49	51
490	49	50
491	49	50
492	49	50
493	49	50
494	49	50
495	49	50
496	49	50
497	49	50
498	49	50
499	50	50
500	50	49
501	50	49
502	50	49
503	50	49
504	50	49
505	50	49
506	50	49
507	51	49
508	51	49
509	51	49
510	51	49
511	51	48
512	51	48
513	51	48
514	51	48
515	51	48
516	51	48
517	51	48
518	52	48
519	52	48
520	52	48
521	52	47
522	52	47
523	52	47
524	52	47
525	52	47
526	52	47
527	52	47
528	53	47
529	53	47
530	53	47
531	53	46
532	53	46
533	53	46
534	53	46
535	53	46
536	53	46
537	53	46
538	53	46
539	54	46
540	54	45
541	54	45
542	54	45
543	54	45
544	54	45
545	54	45
546	54	45
547	54	45
548	54	45
549	55	45
550	55	44
551	55	44
552	55	44
553	55	44
554	55	44
555	55	44
556	55	44
557	55	44
558	55	44
559	56	44
560	56	43
561	56	43
562	56	43
563	56	43
564	56	43
565	56	43
566	56	43
567	56	43
568	56	43
569	56	42
570	57	42
571	57	42
572	57	42
573	57	42
574	57	42
575	57	42
576	57	42
577	57	42
578	57	42
579	57	41
580	58	41
581	58	41
582	58	41
583	58	41
584	58	41
585	58	41
586	58	41
587	58	41
588	58	41
589	58	40
590	59	40
591	59	40
592	59	40
593	59	40
594	59	40
595	59	40
596	59	40
597	59	40
598	59	40
599	59	39
600	59	39
601	60	39
602	60	39
603	60	39
604	60	39
605	60	39
606	60	39
607	60	39
608	60	38
609	60	38
610	60	38
611	60	38
612	61	38
613	61	38
614	61	38
615	61	38
616	61	38
617	61	38
618	61	37
619	61	37
620	61	37
621	61	37
622	61	37
623	62	37
624	62	37
625	62	37
626	62	37
627	62	37
628	62	36
629	62	36
630	62	36
631	62	36
632	63	36
633	63	36
634	63	36
635	63	36
636	63	36
637	63	36
638	63	35
639	63	35
640	63	35
641	63	35
642	64	35
643	64	35
644	64	35
645	64	35
646	64	35
647	64	35
648	64	34
649	64	34
650	64	34
651	64	34
652	64	34
653	65	34
654	65	34
655	65	34
656	65	34
657	65	34
658	65	33
659	65	33
660	65	33
661	65	33
662	65	33
663	65	33
664	66	33
665	66	33
666	66	33
667	66	32
668	66	32
669	66	32
670	66	32
671	66	32
672	66	32
673	66	32
674	67	32
675	67	32
676	67	32
677	67	31
678	67	31
679	67	31
680	67	31
681	67	31
682	67	31
683	67	31
684	67	31
685	68	31
686	68	31
687	68	30
688	68	30
689	68	30
690	68	30
691	68	30
692	68	30
693	68	30
694	68	30
695	69	30
696	69	30
697	69	29
698	69	29
699	69	29
700	69	29
701	69	29
702	69	29
703	69	29
704	69	29
705	69	29
706	69	29
707	70	28
708	70	28
709	70	28
710	70	28
711	70	28
712	70	28
713	70	28
714	70	28
715	70	28
716	70	28
717	71	27
718	71	27
719	71	27
720	71	27
721	71	27
722	71	27
723	71	27
724	71	27
725	71	27
726	71	26
727	71	26
728	72	26
729	72	26
730	72	26
731	72	26
732	72	26
733	72	26
734	72	26
735	72	26
736	72	25
737	72	25
738	73	25
739	73	25
740	73	25
741	73	25
742	73	25
743	73	25
744	73	25
745	73	25
746	73	25
747	73	24
748	74	24
749	74	24
750	74	24
751	74	24
752	74	24
753	74	24
754	74	24
755	74	24
756	74	24
757	74	23
758	75	23
759	75	23
760	75	23
761	75	23
762	75	23
763	75	23
764	75	23
765	75	23
766	75	23
767	75	22
768	76	22
769	76	22
770	76	22
771	76	22
772	76	22
773	76	22
774	76	22
775	76	22
776	76	22
777	76	21
778	77	21
779	77	21
780	77	21
781	77	21
782	77	21
783	77	21
784	77	21
785	77	21
786	77	21
787	77	20
788	78	20
789	78	20
790	78	20
791	78	20
792	78	20
793	78	20
794	78	20
795	78	20
796	78	20
797	79	20
798	79	19
799	79	19
800	79	19
801	79	19
802	79	19
803	79	19
804	79	19
805	79	19
806	79	19
807	80	19
808	80	18
809	80	18
810	80	18
811	80	18
812	80	18
813	80	18
814	80	18
815	80	18
816	80	18
817	81	18
818	81	17
819	81	17
820	81	17
821	81	17
822	81	17
823	81	17
824	81	17
825	81	17
826	81	17
827	82	17
828	82	16
829	82	16
830	82	16
831	82	16
832	82	16
833	82	16
834	82	16
835	82	16
836	82	16
837	83	16
838	83	15
839	83	15
840	83	15
841	83	15
842	83	15
843	83	15
844	83	15
845	83	15
846	83	15
847	84	15
848	84	14
849	84	14
850	84	14
851	84	14
852	84	14
853	84	14
854	84	14
855	84	14
856	84	14
857	85	14
858	85	13
859	85	13
860	85	13
861	85	13
862	85	13
863	85	13
864	85	13
865	85	13
866	86	13
867	86	13
868	86	12
869	86	12
870	86	12
871	86	12
872	86	12
873	86	12
874	86	12
875	86	12
876	87	12
877	87	12
878	87	12
879	87	11
880	87	11
881	87	11
882	87	11
883	87	11
884	87	11
885	87	11
886	87	11
887	88	11
888	88	11
889	88	10
890	88	10
891	88	10
892	88	10
893	88	10
894	88	10
895	88	10
896	88	10
897	89	10
898	89	10
899	89	9
900	89	9
901	89	9
902	89	9
903	89	9
904	89	9
905	89	9
906	89	9
907	90	9
908	90	9
909	90	8
910	90	8
911	90	8
912	90	8
913	90	8
914	90	8
915	90	8
916	90	8
917	91	8
918	91	8
919	91	7
920	91	7
921	91	7
922	91	7
923	91	7
924	92	7
925	92	7
926	92	7
927	92	7
928	92	7
929	92	6
930	92	6
931	93	6
932	93	6
933	93	6
934	93	6
935	93	6
936	93	6
937	94	6
938	94	6
939	94	6
940	94	5
941	94	5
942	94	5
943	94	5
944	94	5
945	94	5
946	95	5
947	95	5
948	95	5
949	95	5
950	95	4
951	95	4
952	95	4
953	95	4
954	95	4
955	95	4
956	96	4
957	96	4
958	96	4
959	96	4
960	96	3
961	96	3
962	96	3
963	96	3
964	96	3
965	96	3
966	97	3
967	97	3
968	97	3
969	97	3
970	97	2
971	97	2
972	97	2
973	97	2
974	97	2
975	97	2
976	98	2
977	98	2
978	98	2
979	98	2
980	98	1
981	98	1
982	98	1
983	98	1
984	98	1
985	98	1
986	98	1
987	99	1
988	99	1
989	99	1
990	99	0
991	99	0
992	99	0
993	99	0
994	99	0
995	99	0
996	99	0
997	100	0
998	100	0
999	100	0
