iter	Passed	Remaining
0	0	129
1	0	119
2	0	113
3	0	111
4	0	109
5	0	108
6	0	102
7	0	99
8	0	99
9	0	94
10	1	92
11	1	87
12	1	87
13	1	88
14	1	88
15	1	89
16	1	90
17	1	91
18	1	91
19	1	91
20	1	91
21	2	91
22	2	91
23	2	92
24	2	90
25	2	90
26	2	89
27	2	90
28	2	90
29	2	90
30	2	90
31	2	89
32	3	90
33	3	90
34	3	90
35	3	89
36	3	89
37	3	89
38	3	89
39	3	89
40	3	88
41	3	89
42	4	89
43	4	88
44	4	88
45	4	87
46	4	87
47	4	87
48	4	87
49	4	88
50	4	88
51	4	88
52	4	88
53	5	88
54	5	88
55	5	88
56	5	88
57	5	88
58	5	88
59	5	88
60	5	88
61	5	88
62	5	88
63	6	88
64	6	88
65	6	88
66	6	88
67	6	88
68	6	88
69	6	88
70	6	88
71	6	88
72	6	88
73	7	88
74	7	88
75	7	88
76	7	88
77	7	87
78	7	87
79	7	87
80	7	87
81	7	87
82	7	87
83	8	88
84	8	88
85	8	88
86	8	88
87	8	87
88	8	87
89	8	87
90	8	87
91	8	87
92	8	87
93	9	87
94	9	87
95	9	86
96	9	86
97	9	86
98	9	86
99	9	86
100	9	86
101	9	85
102	9	85
103	9	85
104	10	85
105	10	85
106	10	85
107	10	85
108	10	85
109	10	85
110	10	85
111	10	85
112	10	85
113	10	84
114	11	85
115	11	84
116	11	84
117	11	84
118	11	84
119	11	84
120	11	84
121	11	84
122	11	84
123	11	84
124	12	84
125	12	84
126	12	84
127	12	84
128	12	84
129	12	84
130	12	84
131	12	84
132	12	84
133	13	84
134	13	83
135	13	83
136	13	83
137	13	83
138	13	83
139	13	83
140	13	83
141	13	82
142	13	82
143	13	82
144	14	82
145	14	82
146	14	82
147	14	82
148	14	82
149	14	82
150	14	82
151	14	81
152	14	81
153	14	81
154	14	81
155	15	81
156	15	81
157	15	81
158	15	81
159	15	81
160	15	81
161	15	80
162	15	80
163	15	80
164	15	80
165	16	80
166	16	80
167	16	80
168	16	80
169	16	80
170	16	80
171	16	79
172	16	79
173	16	79
174	16	79
175	16	79
176	17	79
177	17	79
178	17	79
179	17	79
180	17	79
181	17	79
182	17	79
183	17	79
184	17	78
185	18	78
186	18	78
187	18	78
188	18	78
189	18	78
190	18	78
191	18	78
192	18	78
193	18	78
194	18	77
195	18	77
196	19	77
197	19	77
198	19	77
199	19	77
200	19	77
