iter	RMSE
0	139.5880637
1	137.8186895
2	135.7488005
3	134.0991276
4	132.1197758
5	130.1334519
6	128.2290793
7	126.6897084
8	125.4462091
9	123.6910733
10	121.7069495
11	120.0486226
12	118.610025
13	116.7649282
14	114.9380579
15	113.1756485
16	111.7922813
17	110.5676533
18	108.9286662
19	107.2795785
20	105.6649714
21	104.2691364
22	102.765576
23	101.4950277
24	100.2112044
25	98.95649208
26	97.60029684
27	96.45418487
28	95.2753509
29	93.92298857
30	92.56749242
31	91.41082374
32	90.39061895
33	89.10545841
34	87.96141663
35	86.9092285
36	85.79928328
37	84.67851001
38	83.48031602
39	82.39410396
40	81.2778845
41	80.3784744
42	79.43643236
43	78.46609897
44	77.46035328
45	76.70372461
46	75.95808472
47	75.08827906
48	74.33746681
49	73.50773441
50	72.58459701
51	71.86864142
52	71.0729278
53	70.17430184
54	69.53749412
55	68.95599788
56	68.40436374
57	67.67123087
58	66.99550454
59	66.25852417
60	65.53812758
61	64.88062223
62	64.05495768
63	63.25569471
64	62.52870637
65	61.97661613
66	61.32254329
67	60.81178622
68	60.34772044
69	59.78602387
70	59.11928587
71	58.55270482
72	57.97918387
73	57.46960548
74	56.91011498
75	56.33330441
76	55.81163501
77	55.3289361
78	54.90715143
79	54.42919662
80	53.9164246
81	53.35467092
82	52.90846399
83	52.53621439
84	52.18021495
85	51.67001728
86	51.26531069
87	50.905142
88	50.46112013
89	50.02746351
90	49.61371843
91	49.1313858
92	48.74590998
93	48.53878424
94	48.16466771
95	47.76549694
96	47.46100121
97	47.07018597
98	46.79674027
99	46.46686383
100	46.17572951
101	45.89525252
102	45.55018062
103	45.15194131
104	44.85513252
105	44.50063848
106	44.13667469
107	43.73301794
108	43.41811087
109	43.04835654
110	42.77971047
111	42.5053788
112	42.15324747
113	41.91813014
114	41.53299914
115	41.2519362
116	41.01930032
117	40.65541394
118	40.34382545
119	40.15218938
120	39.93070594
121	39.7077425
122	39.38620773
123	39.12391694
124	38.91370541
125	38.64155394
126	38.36565566
127	38.10694758
128	37.85006759
129	37.61191481
130	37.31597447
131	37.08798328
132	36.8485489
133	36.50951165
134	36.32074002
135	36.17151746
136	36.03355871
137	35.7536958
138	35.50019843
139	35.26127875
140	35.01813486
141	34.8432527
142	34.66402146
143	34.47324622
144	34.31040152
145	34.03735841
146	33.82337386
147	33.66216102
148	33.57622508
149	33.33845657
150	33.16759521
151	32.98454189
152	32.86435236
153	32.71251876
154	32.52725398
155	32.36109153
156	32.14076703
157	31.93596944
158	31.73047767
159	31.54043361
160	31.35678344
161	31.20385435
162	31.00231673
163	30.82010782
164	30.60920312
165	30.33420512
166	30.16985838
167	30.02858988
168	29.8400544
169	29.72839125
170	29.5466229
171	29.34037062
172	29.14503375
173	29.02497173
174	28.84008846
175	28.61157611
176	28.4270633
177	28.2409784
178	28.0329611
179	27.85730877
180	27.63997257
181	27.47338214
182	27.34710846
183	27.14985505
184	27.01395409
185	26.83791027
186	26.64566846
187	26.49346847
188	26.34506475
189	26.12912792
190	25.97623189
191	25.76846876
192	25.56203146
193	25.37983703
194	25.24527884
195	25.10787494
196	24.95840627
197	24.83156104
198	24.67230392
199	24.49073854
200	24.35831245
201	24.19725109
202	24.0314016
203	23.89264254
204	23.76774135
205	23.62950366
206	23.46911224
207	23.29218156
208	23.10471136
209	22.95127819
210	22.84092125
211	22.70230967
212	22.51959085
213	22.4213899
214	22.25546938
215	22.14861924
216	21.98939302
217	21.89179572
218	21.73001016
219	21.57546402
220	21.44602825
221	21.3183098
222	21.1810894
223	21.07028795
224	20.93622772
225	20.80050413
226	20.69534381
227	20.56329581
228	20.46968751
229	20.34813939
230	20.19830222
231	20.08512112
232	19.97613069
233	19.85929253
234	19.70609133
235	19.62978873
236	19.51742119
237	19.41521729
238	19.29951194
239	19.18469574
240	19.0772511
241	18.97323586
242	18.85536503
243	18.74391628
